loan_amnt,title,dti,emp_length,approved
12000,Home improvement,5.37,8 years,Yes
32000,Other,6.79,3 years,Yes
10700,Debt consolidation,5.07,< 1 year,Yes
6000,Home improvement,14.99,6 years,Yes
15000,Credit card refinancing,24.21,4 years,Yes
16000,Debt consolidation,27.89,6 years,Yes
12000,Debt consolidation,24.89,< 1 year,Yes
10000,Credit card refinancing,9.25,1 year,Yes
38500,Debt consolidation,22.62,2 years,Yes
16000,Debt consolidation,9.98,9+ years,Yes
12500,Credit card refinancing,31.96,9+ years,Yes
20000,Debt consolidation,13.59,5 years,Yes
9600,Credit card refinancing,8.97,5 years,Yes
23000,Home improvement,3.03,2 years,Yes
3200,Debt consolidation,18.88,5 years,Yes
10000,Credit card refinancing,31.07,2 years,Yes
30000,Other,24.94,9+ years,Yes
10000,Credit card refinancing,22.18,1 year,Yes
30000,Debt consolidation,8.13,9+ years,Yes
5000,Credit card refinancing,19.89,9+ years,Yes
24000,Debt consolidation,26.9,2 years,Yes
20000,Credit card refinancing,16.92,9+ years,Yes
35000,Major purchase,11.9,< 1 year,Yes
10500,Credit card refinancing,13.33,6 years,Yes
7500,Debt consolidation,16.75,4 years,Yes
21000,Credit card refinancing,26.71,7 years,Yes
4000,Debt consolidation,16.74,9+ years,Yes
11000,Credit card refinancing,15.57,7 years,Yes
10000,Credit card refinancing,20.73,2 years,Yes
10000,Home improvement,8.51,9+ years,Yes
7000,Debt consolidation,11,4 years,Yes
25000,Home improvement,9.32,2 years,Yes
6000,Home improvement,10.28,9+ years,Yes
10000,Debt consolidation,19.32,< 1 year,Yes
15000,Debt consolidation,38.06,9+ years,Yes
7775,Debt consolidation,20.9,9+ years,Yes
40000,Other,33.25,3 years,Yes
10000,Debt consolidation,21.41,9+ years,Yes
3000,Debt consolidation,18.32,2 years,Yes
7500,Debt consolidation,7.71,3 years,Yes
24000,Debt consolidation,10.44,3 years,Yes
5000,Credit card refinancing,14.31,1 year,Yes
10200,Debt consolidation,5.93,9+ years,Yes
16500,Credit card refinancing,15.06,2 years,Yes
11000,Credit card refinancing,18.81,5 years,Yes
20000,Credit card refinancing,21.13,< 1 year,Yes
30000,Debt consolidation,7.89,1 year,Yes
8125,Debt consolidation,19.27,8 years,Yes
13000,Credit card refinancing,11.02,1 year,Yes
16000,Debt consolidation,35.88,9+ years,Yes
4500,Debt consolidation,31.72,< 1 year,Yes
10000,Debt consolidation,16.39,5 years,Yes
40000,Debt consolidation,8.03,< 1 year,Yes
2500,Other,33.79,9+ years,Yes
8500,Debt consolidation,23.49,6 years,Yes
35000,Credit card refinancing,12.52,8 years,Yes
20000,Home improvement,14.96,9+ years,Yes
8000,Credit card refinancing,10.34,2 years,Yes
11000,Debt consolidation,13.31,6 years,Yes
26400,Credit card refinancing,22,9+ years,Yes
20850,Debt consolidation,18.12,2 years,Yes
12000,Debt consolidation,11.63,5 years,Yes
12000,Credit card refinancing,24.08,9+ years,Yes
19200,Home improvement,20.14,4 years,Yes
15000,Debt consolidation,21.56,3 years,Yes
24000,Debt consolidation,19.72,7 years,Yes
2000,Home improvement,23.86,9+ years,Yes
20000,Debt consolidation,27.41,9+ years,Yes
12600,Debt consolidation,25.78,1 year,Yes
20000,Debt consolidation,27.39,8 years,Yes
24975,Home improvement,15.79,4 years,Yes
3500,Credit card refinancing,12.69,9+ years,Yes
5650,Credit card refinancing,3.64,5 years,Yes
6000,Home buying,30.97,9+ years,Yes
6400,Major purchase,5.04,9+ years,Yes
15000,Debt consolidation,7.34,3 years,Yes
25000,Credit card refinancing,11.03,9+ years,Yes
6000,Debt consolidation,18.85,6 years,Yes
24000,Other,1.47,< 1 year,Yes
12000,Credit card refinancing,12.76,5 years,Yes
30000,Credit card refinancing,38.69,9+ years,Yes
8000,Credit card refinancing,10.37,2 years,Yes
30000,Car financing,15.14,9+ years,Yes
1200,Major purchase,27.75,4 years,Yes
36000,Debt consolidation,28.52,9+ years,Yes
19200,Credit card refinancing,26.34,2 years,Yes
10000,Other,29.62,< 1 year,Yes
4000,Debt consolidation,29.52,1 year,Yes
8000,Credit card refinancing,7.15,9+ years,Yes
10000,Debt consolidation,22.33,< 1 year,Yes
15000,Credit card refinancing,9.95,4 years,Yes
5500,Credit card refinancing,23.38,< 1 year,Yes
13500,Debt consolidation,15.44,3 years,Yes
25000,Credit card refinancing,24.72,2 years,Yes
20000,Debt consolidation,14.39,8 years,Yes
16000,Debt consolidation,21.47,9+ years,Yes
10000,Debt consolidation,18.1,9+ years,Yes
24000,Debt consolidation,25.22,9+ years,Yes
8000,Debt consolidation,29.39,5 years,Yes
15000,Credit card refinancing,11.9,< 1 year,Yes
15500,Credit card refinancing,13.96,3 years,Yes
2000,Other,12.73,4 years,Yes
13000,Debt consolidation,31.8,9+ years,Yes
20000,Debt consolidation,7,< 1 year,Yes
10000,Debt consolidation,13.82,< 1 year,Yes
18000,Home improvement,14.04,9+ years,Yes
8000,Credit card refinancing,10.89,7 years,Yes
3200,Home improvement,22.17,5 years,Yes
7000,Debt consolidation,17.24,2 years,Yes
14400,Debt consolidation,23.26,9+ years,Yes
3200,Debt consolidation,8.58,2 years,Yes
8000,Debt consolidation,19.31,3 years,Yes
12000,Credit card refinancing,14.83,1 year,Yes
10000,Debt consolidation,17.8,1 year,Yes
8000,Credit card refinancing,9.81,9+ years,Yes
13000,Credit card refinancing,10.58,9+ years,Yes
5000,Debt consolidation,13.59,2 years,Yes
12000,Credit card refinancing,21.87,9+ years,Yes
6000,Credit card refinancing,35.91,7 years,Yes
18000,Debt consolidation,16.02,5 years,Yes
28000,Debt consolidation,30.79,< 1 year,Yes
33500,Debt consolidation,18.26,2 years,Yes
16000,Debt consolidation,10.18,7 years,Yes
30000,Debt consolidation,15.4,9+ years,Yes
18000,Debt consolidation,27.8,9+ years,Yes
20000,Credit card refinancing,12.09,9+ years,Yes
12000,Credit card refinancing,22.84,< 1 year,Yes
10000,Credit card refinancing,9.83,3 years,Yes
40000,Debt consolidation,32.67,< 1 year,Yes
6500,Debt consolidation,20.84,9+ years,Yes
15000,Debt consolidation,14.5,2 years,Yes
14400,Debt consolidation,18.22,9+ years,Yes
2200,Other,16.77,9+ years,Yes
6000,Debt consolidation,19.34,3 years,Yes
13000,Credit card refinancing,24.36,9+ years,Yes
25550,Credit card refinancing,23.83,9+ years,Yes
16000,Debt consolidation,26.57,9+ years,Yes
12800,Debt consolidation,20.66,9+ years,Yes
3500,Credit card refinancing,21.6,7 years,Yes
15000,Debt consolidation,11.49,9+ years,Yes
20000,Credit card refinancing,19.44,3 years,Yes
10000,Credit card refinancing,13.82,9+ years,Yes
5000,Debt consolidation,0.99,9+ years,Yes
20000,Debt consolidation,34.14,5 years,Yes
1000,Other,15.04,2 years,Yes
5500,Other,2.53,4 years,Yes
13000,Debt consolidation,39.36,9+ years,Yes
15000,Debt consolidation,14.03,< 1 year,Yes
25600,Debt consolidation,24.57,9+ years,Yes
9600,Debt consolidation,2.25,9+ years,Yes
22000,Debt consolidation,21.39,3 years,Yes
10000,Debt consolidation,27.92,2 years,Yes
7200,Debt consolidation,13.38,7 years,Yes
16000,Credit card refinancing,6.83,9+ years,Yes
20000,Credit card refinancing,32.85,6 years,Yes
23000,Debt consolidation,12.55,< 1 year,Yes
15000,Debt consolidation,10.47,3 years,Yes
20000,Home improvement,26.27,9+ years,Yes
7000,Debt consolidation,27.69,1 year,Yes
18000,Debt consolidation,13.27,9+ years,Yes
10000,Debt consolidation,29.02,< 1 year,Yes
10000,Credit card refinancing,30.5,9+ years,Yes
40000,Home buying,8.76,4 years,Yes
15000,Other,24.74,4 years,Yes
20000,Credit card refinancing,22.06,3 years,Yes
21000,Home improvement,14.21,6 years,Yes
35000,Debt consolidation,26.32,8 years,Yes
5000,Debt consolidation,14.95,1 year,Yes
5000,Credit card refinancing,16.9,5 years,Yes
5800,Home improvement,27.21,9+ years,Yes
10000,Debt consolidation,16.8,9+ years,Yes
22000,Debt consolidation,18.52,5 years,Yes
5400,Credit card refinancing,37.81,8 years,Yes
26725,Debt consolidation,2.97,2 years,Yes
8000,Credit card refinancing,12.17,5 years,Yes
2000,Home improvement,10.29,9+ years,Yes
32000,Debt consolidation,6.92,1 year,Yes
16000,Credit card refinancing,18.71,9+ years,Yes
