"loan_amnt","title","int_rate","term","loan_status","emp_length","home_ownership","annual_inc","dti","pub_rec","mo_sin_old_rev_tl_op","mo_sin_old_il_acct","total_acc","open_acc","mort_acc","delinq_2yrs","inq_last_12m","all_util","revol_util","revol_bal","tot_cur_bal","total_bal_ex_mort","grade"
12000,"Debt consolidation",0.163684199618152," 36 months","Current","5 years","RENT",70000,11.23,0,30,150,8,8,0,0,1,50,0.497,5371,82759,82759,"C"
5000,"Debt consolidation",0.1187753425634," 36 months","Current","1 year","RENT",70000,2.67,1,149,65,32,9,0,0,0,27,0.265,3176,3176,3176,"B"
15000,"Debt consolidation",0.120516273406334," 60 months","Current","< 1 year","OWN",70000,20.44,0,212,157,16,7,0,0,0,68,0.662,18677,55303,55303,"B"
33775,"Debt consolidation",0.165816571477894," 36 months","Current","3 years","RENT",2e+05,11.01,0,213,218,10,4,0,0,0,69,0.625,14698,58057,58057,"C"
15000,"Debt consolidation",0.114866120377812," 36 months","Current","9+ years","MORTGAGE",90000,6.19,0,155,135,32,10,2,2,1,71,0.709,14810,342296,14810,"B"
20000,"Home improvement",0.120274735173211," 36 months","Current","< 1 year","MORTGAGE",185000,13.54,0,202,138,35,20,2,3,2,21,0.112,12207,336988,91646,"B"
6000,"Debt consolidation",0.111957958566514," 36 months","Current","3 years","RENT",99800,5.23,0,203,175,13,8,0,0,5,33,0.276,9704,12844,12844,"B"
8500,"Debt consolidation",0.0656182494549081," 36 months","Current","9+ years","MORTGAGE",68000,12.3,0,166,137,30,8,3,0,0,35,0.309,16250,114104,21289,"A"
6000,"Credit card refinancing",0.0732799157593632," 36 months","Current","< 1 year","MORTGAGE",50000,4.49,0,117,170,15,8,0,0,3,69,0.338,5447,20731,20731,"A"
12800,"Medical expenses",0.0677353663697373," 36 months","Current","3 years","MORTGAGE",150000,14.8,0,407,21,12,8,0,0,0,44,0.426,7450,53533,53533,"A"
16600,"Debt consolidation",0.181720251843845," 36 months","Current","3 years","OWN",132000,28.55,0,300,169,25,11,0,1,0,47,0.133,2865,81983,81983,"D"
33400,"Debt consolidation",0.166609079145687," 60 months","Current","9+ years","MORTGAGE",2e+05,21.43,0,399,172,20,11,1,0,0,63,0.909,36466,120312,120312,"C"
14000,"Debt consolidation",0.189963754389994," 60 months","Current","< 1 year","RENT",40000,15.48,1,182,121,28,8,0,0,2,53,0.489,7977,12859,12859,"D"
8000,"Credit card refinancing",0.0785521477094386," 36 months","Current","1 year","RENT",88000,7.15,0,68,111,16,6,0,0,3,37,0.248,6955,16461,16461,"A"
20000,"Debt consolidation",0.0788490354692098," 36 months","Current","9+ years","RENT",108000,10.62,1,153,158,27,13,1,0,4,66,0.268,9979,298932,70318,"A"
19000,"Credit card refinancing",0.119589141671895," 60 months","Current","4 years","MORTGAGE",86000,27.09,0,206,208,30,17,2,0,1,44,0.361,15025,172611,84161,"B"
25000,"Debt consolidation",0.202843004699377," 60 months","Current","5 years","RENT",50000,17.04,1,61,0,18,15,0,0,1,41,0.405,22936,22936,22936,"D"
15000,"Debt consolidation",0.116212988940766," 36 months","Current","1 year","RENT",60000,14.8,0,152,148,11,4,0,0,0,54,0.807,11544,14611,14611,"B"
